convergence_year,long_run_TFR,long_run_net_migration,population_2100,births_2100,old_age_dependency_2100,total_dependency_2100
2035,1.2093248672550592,-177905.0510844769,190921548.24374664,868318.8847509802,96.06409326115183,112.73435801965381
2045,1.2751035796518024,-391572.96765222895,193690418.9169612,916848.3164776359,96.06409325808818,112.73435801691053
2055,1.3758698306013835,-694804.9321056562,194150276.93888038,939464.986692772,96.06409325710487,112.73435801600488
2070,1.4062850045532207,-939961.4355297602,203485919.21240863,963995.9588991619,96.06409325808804,112.73435801691039
